2026-07-12 13:00:35 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] END status=ok | project_id=b3781bde-5386-4060-adfb-9014de573099 change_name=my-project
2026-07-12 13:00:36 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] START | project_name=待删除 username=deluser
2026-07-12 13:00:36 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [translate-name] | name=待删除 result=to-delete
2026-07-12 13:00:36 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [db-record] | project_id=15453ae6-93b6-42ae-96ad-8d02aaf83689 change_name=to-delete
2026-07-12 13:00:36 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [fs-init] | dir=/Users/billkang/workspace/nebula/packages/build-engine/backend/projects/deluser-to-delete
2026-07-12 13:00:40 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [openspec-init] | 
2026-07-12 13:00:40 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] END status=ok | project_id=15453ae6-93b6-42ae-96ad-8d02aaf83689 change_name=to-delete
2026-07-12 13:00:41 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] START | project_name=旅游助手 username=cn_user
2026-07-12 13:00:41 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [translate-name] | name=旅游助手 result=travel-assistant
2026-07-12 13:00:41 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [db-record] | project_id=6cb92fdc-b7c2-4517-8032-f5ff20c2cc18 change_name=travel-assistant
2026-07-12 13:00:41 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [fs-init] | dir=/Users/billkang/workspace/nebula/packages/build-engine/backend/projects/cn_user-travel-assistant
2026-07-12 13:00:42 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [openspec-init] | 
2026-07-12 13:00:42 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] END status=ok | project_id=6cb92fdc-b7c2-4517-8032-f5ff20c2cc18 change_name=travel-assistant
2026-07-12 13:00:43 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] START | project_name=Spec测试 username=specuser
2026-07-12 13:00:43 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [translate-name] | name=Spec测试 result=spec-test
2026-07-12 13:00:43 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [db-record] | project_id=9c7ad349-89b7-40db-b2bb-40c68d98926e change_name=spec-test
2026-07-12 13:00:43 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [fs-init] | dir=/Users/billkang/workspace/nebula/packages/build-engine/backend/projects/specuser-spec-test
2026-07-12 13:00:45 | INFO  | nebula.biz | [BIZ] [CREATE_PROJECT] [openspec-init] | 
